YouTube Search interest: paramore
United States; Jan 2008 - Jul 2015

Interest over time
Week,paramore
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,73
Norfolk-Portsmouth-Newport News VA,73
Augusta GA,73
Albany-Schenectady-Troy NY,73
Rochester NY,73
Louisville KY,73
Springfield-Holyoke MA,73
Lansing MI,73
Green Bay-Appleton WI,72
Salt Lake City UT,72
Yakima-Pasco-Richland-Kennewick WA,72
Waco-Temple-Bryan TX,72
Jackson MS,71
Wichita-Hutchinson KS,71
Charlotte NC,70
Boston MA-Manchester NH,70
Tri-Cities TN-VA,70
Houston TX,70
Springfield MO,69
San Diego CA,69
Indianapolis IN,69
Mobile AL-Pensacola (Ft. Walton Beach) FL,69
Albuquerque-Santa Fe NM,69
Cincinnati OH,68
Milwaukee WI,68
Nashville TN,68
Greensboro-High Point-Winston Salem NC,67
Miami-Ft. Lauderdale FL,67
Baltimore MD,66
Syracuse NY,66
Harrisburg-Lancaster-Lebanon-York PA,66
Portland-Auburn ME,66
Chicago IL,66
Little Rock-Pine Bluff AR,66
Johnstown-Altoona PA,65
Champaign & Springfield-Decatur IL,65
South Bend-Elkhart IN,65
Charleston-Huntington WV,65
Chattanooga TN,65
Memphis TN,65
West Palm Beach-Ft. Pierce FL,64
Baton Rouge LA,64
Columbus OH,64
Roanoke-Lynchburg VA,64
Honolulu HI,64
Omaha NE,64
Austin TX,64
Santa Barbara-Santa Maria-San Luis Obispo CA,63
Lincoln & Hastings-Kearney NE,63
Tallahassee FL-Thomasville GA,63
Birmingham AL,63
Ft. Wayne IN,62
Monterey-Salinas CA,62
Raleigh-Durham (Fayetteville) NC,62
Madison WI,62
Eugene OR,62
Fargo-Valley City ND,61
Tulsa OK,61
Spokane WA,61
Greenville-Spartanburg SC-Asheville NC-Anderson SC,60
Buffalo NY,60
Burlington VT-Plattsburgh NY,60
Seattle-Tacoma WA,59
Minneapolis-St. Paul MN,59
Greenville-New Bern-Washington NC,59
Harlingen-Weslaco-Brownsville-McAllen TX,58
Davenport IA-Rock Island-Moline IL,58
Des Moines-Ames IA,58
Peoria-Bloomington IL,57
Ft. Myers-Naples FL,57
Charleston SC,57
Huntsville-Decatur (Florence) AL,57
Richmond-Petersburg VA,56
Knoxville TN,55
Columbia SC,55
Savannah GA,55
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,51
Portland OR,48
Binghamton NY,0
Macon GA,0
Erie PA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for paramore
Town/City,paramore
Milpitas,100
Richardson,98
Sterling,98
Reston,89
Irvine,88
Los Angeles,81
Orlando,77
St. Louis,77
Tampa,76
Phoenix,76
Ashburn,76
Herndon,74
San Antonio,71
Newark,71
Atlanta,69



Top searches for paramore
paramore lyrics,100
only exception paramore,65
exception paramore,60
paramore misery business,55
misery business,55
the only exception,55
decode paramore,50
decode,45
ignorance,25
paramore ignorance,25
into you paramore,25
monster paramore,25
monster,25
paramore live,25
crushcrushcrush,20
paramore crushcrushcrush,20
paramore acoustic,20
paramore music video,20
paramore cover,15
paramore songs,10
paramore pressure,10
flyleaf,10
decode paramore lyrics,10
caught myself paramore,10
paramore my heart,10
paramore now,10
paramore twilight,10
paramore crush,10
paramore hallelujah,10
twilight,10
hallelujah,10
paramore airplanes,10
airplanes,10
paramore playing god,10
emergency paramore,10
hayley williams,10
avril lavigne,10
paramore karaoke,10
use somebody paramore,5
fences paramore,5
fences,5
evanescence,5
paramore ignorance lyrics,5
