YouTube Search interest: colbie caillat
United States; Jan 2008 - Jul 2015

Interest over time
Week,colbie caillat
Metro,colbie caillat
Honolulu HI,100
Salt Lake City UT,83
Portland-Auburn ME,73
Grand Rapids-Kalamazoo-Battle Creek MI,71
Green Bay-Appleton WI,66
Wichita-Hutchinson KS,64
Minneapolis-St. Paul MN,64
Kansas City MO,63
Burlington VT-Plattsburgh NY,63
Flint-Saginaw-Bay City MI,62
Syracuse NY,62
Colorado Springs-Pueblo CO,62
Spokane WA,62
Fresno-Visalia CA,61
Sacramento-Stockton-Modesto CA,61
Indianapolis IN,60
Cincinnati OH,60
Los Angeles CA,60
Dayton OH,59
Louisville KY,59
San Diego CA,59
Albany-Schenectady-Troy NY,59
St. Louis MO,58
Waco-Temple-Bryan TX,58
Rochester NY,57
Madison WI,57
Omaha NE,57
Denver CO,56
Des Moines-Ames IA,55
Jacksonville FL,55
Boston MA-Manchester NH,54
Phoenix AZ,54
Greensboro-High Point-Winston Salem NC,54
Harrisburg-Lancaster-Lebanon-York PA,54
Lexington KY,53
Greenville-Spartanburg SC-Asheville NC-Anderson SC,53
Seattle-Tacoma WA,53
Providence RI-New Bedford MA,53
Little Rock-Pine Bluff AR,53
Cleveland-Akron (Canton) OH,53
Tampa-St. Petersburg (Sarasota) FL,52
Hartford & New Haven CT,51
Dallas-Ft. Worth TX,51
Wilkes Barre-Scranton PA,51
Raleigh-Durham (Fayetteville) NC,51
Milwaukee WI,51
Albuquerque-Santa Fe NM,50
Nashville TN,49
Detroit MI,48
Pittsburgh PA,48
Oklahoma City OK,48
Tulsa OK,48
Birmingham AL,47
Baltimore MD,47
Norfolk-Portsmouth-Newport News VA,47
Tucson (Sierra Vista) AZ,47
Las Vegas NV,46
Philadelphia PA,46
Columbus OH,46
Washington DC (Hagerstown MD),46
San Antonio TX,46
Portland OR,45
Orlando-Daytona Beach-Melbourne FL,44
Charlotte NC,44
Buffalo NY,44
Atlanta GA,44
San Francisco-Oakland-San Jose CA,44
Chicago IL,43
West Palm Beach-Ft. Pierce FL,42
New York NY,41
Austin TX,41
Houston TX,39
Miami-Ft. Lauderdale FL,37
New Orleans LA,36
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
