YouTube Search interest: diddy
United States; Jan 2008 - Jul 2015

Interest over time
Week,diddy
2014-06-29 - 2014-07-05,9
2014-07-06 - 2014-07-12,11
2014-07-13 - 2014-07-19,10
2014-07-20 - 2014-07-26,9
2014-07-27 - 2014-08-02,9
2014-08-03 - 2014-08-09,9
2014-08-10 - 2014-08-16,9
2014-08-17 - 2014-08-23,9
2014-08-24 - 2014-08-30,8
2014-08-31 - 2014-09-06,8
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,9
2014-09-21 - 2014-09-27,9
2014-09-28 - 2014-10-04,8
2014-10-05 - 2014-10-11,8
2014-10-12 - 2014-10-18,7
2014-10-19 - 2014-10-25,7
2014-10-26 - 2014-11-01,7
2014-11-02 - 2014-11-08,7
2014-11-09 - 2014-11-15,7
2014-11-16 - 2014-11-22,6
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,7
2014-12-07 - 2014-12-13,18
2014-12-14 - 2014-12-20,11
2014-12-21 - 2014-12-27,8
2014-12-28 - 2015-01-03,8
2015-01-04 - 2015-01-10,8
2015-01-11 - 2015-01-17,9
2015-01-18 - 2015-01-24,9
2015-01-25 - 2015-01-31,7
2015-02-01 - 2015-02-07,8
2015-02-08 - 2015-02-14,9
2015-02-15 - 2015-02-21,9
2015-02-22 - 2015-02-28,8
2015-03-01 - 2015-03-07,8
2015-03-08 - 2015-03-14,8
2015-03-15 - 2015-03-21,7
2015-03-22 - 2015-03-28,6
2015-03-29 - 2015-04-04,8
2015-04-05 - 2015-04-11,8
2015-04-12 - 2015-04-18,6
2015-04-19 - 2015-04-25,6
2015-04-26 - 2015-05-02,7
2015-05-03 - 2015-05-09,9
2015-05-10 - 2015-05-16,8
2015-05-17 - 2015-05-23,7
2015-05-24 - 2015-05-30,7
2015-05-31 - 2015-06-06,7
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,7
2015-06-21 - 2015-06-27,14
2015-06-28 - 2015-07-04,32
2015-07-05 - 2015-07-11,11
2015-07-12 - 2015-07-18,7
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,8


Top sub-regions for diddy
Sub-region,diddy
New York,100
District of Columbia,88
Georgia,82
Rhode Island,82
Maryland,81
New Jersey,81
Connecticut,80
Mississippi,79
North Carolina,76
Delaware,75
Massachusetts,75
South Carolina,74
Pennsylvania,73
Florida,72
Louisiana,70
Michigan,66
Ohio,66
Alabama,66
Illinois,63
Virginia,61
Missouri,59
Texas,59
South Dakota,57
California,56
Nevada,56
Tennessee,56
Wisconsin,55
Kentucky,55
Indiana,55
Arkansas,54
Arizona,53
New Hampshire,53
North Dakota,52
New Mexico,51
Minnesota,50
Vermont,50
Colorado,48
Nebraska,48
Kansas,47
Hawaii,47
Oklahoma,46
Iowa,46
Washington,45
West Virginia,45
Maine,44
Alaska,42
Wyoming,40
Utah,36
Idaho,35
Montana,35
Oregon,33


Top metros for diddy
Metro,diddy
New York NY,100
Columbia SC,92
New Orleans LA,87
Hartford & New Haven CT,85
Memphis TN,85
Norfolk-Portsmouth-Newport News VA,81
Philadelphia PA,81
Raleigh-Durham (Fayetteville) NC,78
Miami-Ft. Lauderdale FL,78
Providence RI-New Bedford MA,77
Atlanta GA,75
Richmond-Petersburg VA,75
Baltimore MD,74
Birmingham AL,72
Boston MA-Manchester NH,71
Greensboro-High Point-Winston Salem NC,71
Buffalo NY,71
Detroit MI,70
West Palm Beach-Ft. Pierce FL,69
Jacksonville FL,69
Chicago IL,68
Orlando-Daytona Beach-Melbourne FL,66
Las Vegas NV,65
Albany-Schenectady-Troy NY,63
Washington DC (Hagerstown MD),63
Wilkes Barre-Scranton PA,63
Fresno-Visalia CA,63
Cincinnati OH,63
St. Louis MO,60
Cleveland-Akron (Canton) OH,60
Los Angeles CA,59
Rochester NY,59
Dallas-Ft. Worth TX,58
Charlotte NC,58
Harrisburg-Lancaster-Lebanon-York PA,57
