id,name,slug,score,short_name,event_count,has_upcoming,genres,type,events,url
86,Keith Urban,keith-urban,0.65151,Keith Urban,15,True,country,band,"2396499,2590512,2415399,2410708,2590558,2527722,2427314,2310166,2579365,2680002",https://seatgeek.com/keith-urban-tickets
15367,Silent Disco,silent-disco,0.64344,Silent Disco,0,False,,band,,https://seatgeek.com/silent-disco-tickets
2538,Not So Silent Night,not-so-silent-night,0.62781,Not So Silent Night,1,True,,music_festival,2696063,https://seatgeek.com/not-so-silent-night-tickets
14778,A Silent Film,a-silent-film,0.48609,A Silent Film,1,True,indie,band,2696955,https://seatgeek.com/a-silent-film-tickets
22427,The Silent Comedy,the-silent-comedy,0.43573,The Silent Comedy,1,True,progressive-rock,band,2544337,https://seatgeek.com/the-silent-comedy-tickets
296353,Live 105's Not So Silent Night 2014:  2-Day Ticket,live-105-s-not-so-silent-night-2014-2-day-ticket,0.41818,Live 105's Not So Silent Night 2014:  2-Day Ticket,0,False,,band,,https://seatgeek.com/live-105-s-not-so-silent-night-2014-2-day-ticket-tickets
52567,Silent Frisco,silent-frisco,0.39801,Silent Frisco,0,False,,band,,https://seatgeek.com/silent-frisco-tickets
8348,Jay and Silent Bob,jay-and-silent-bob,0.38138,Jay and Silent Bob,1,True,,theater_comedy,2541279,https://seatgeek.com/jay-and-silent-bob-tickets
304433,The Silent War,the-silent-war,0.37747,The Silent War,0,False,,band,,https://seatgeek.com/the-silent-war-tickets
296558,KMLE Not So Silent Night,kmle-not-so-silent-night,0.37542,KMLE Not So Silent Night,0,False,,band,,https://seatgeek.com/kmle-not-so-silent-night-tickets
112239,Silent Servant,silent-servant,0.27508,Silent Servant,0,False,techno,band,,https://seatgeek.com/silent-servant-tickets
16295,Carly Rae Jepsen,carly-rae-jepsen,0.71377,Carly Rae Jepsen,2,True,pop,band,"2691607,2624754",https://seatgeek.com/carly-rae-jepsen-tickets
302,Billy Currington,billy-currington,0.59861,Billy Currington,29,True,country,band,"2499807,2546735,2499857,2492283,2492399,2517669,2492388,2517748,2499867,2648967",https://seatgeek.com/billy-currington-tickets
195842,Cashmere Cat,cashmere-cat,0.63513,Cashmere Cat,13,True,,band,"2452328,2563446,2589193,2589327,2689045,2452348,2636787,2652736,2636560,2695528",https://seatgeek.com/cashmere-cat-tickets
16119,Eric Paslay,eric-paslay,0.5248,Eric Paslay,9,True,,band,"2666040,2668765,2584306,2671390,2671388,2613215,2683513,2562132,2688912",https://seatgeek.com/eric-paslay-tickets
11565,Meek Mill,meek-mill,0.56258,Meek Mill,21,True,hip-hop,band,"2555954,2556039,2555737,2555941,2556047,2554817,2554957,2556024,2556030,2556023",https://seatgeek.com/meek-mill-tickets
7031,Skrillex,skrillex,0.57666,Skrillex,12,True,dubstep,band,"2613135,2613132,2632093,2632088,2589104,2685733,2685735,2446072,2446071,2649432",https://seatgeek.com/skrillex-tickets
7031,Skrillex,skrillex,0.57666,Skrillex,12,True,dubstep,band,"2613135,2613132,2632093,2632088,2589104,2685733,2685735,2446072,2446071,2649432",https://seatgeek.com/skrillex-tickets
4358,Jason Derulo,jason-derulo,0.53452,Jason Derulo,15,True,rnb,band,"2637492,2591266,2685735,2584590,2641785,2641498,2651937,2641307,2641783,2641786",https://seatgeek.com/jason-derulo-tickets
107238,Echosmith,echosmith,0.47501,Echosmith,42,True,,band,"2648868,2528831,2558362,2533964,2555662,2590292,2555837,2555979,2556025,2555955",https://seatgeek.com/echosmith-tickets
412,Carrie Underwood,carrie-underwood,0.66466,Carrie Underwood,11,True,country,band,"2307410,2644820,2307419,2644821,2528598,2452325,2573177,2451654,2418065,2698689",https://seatgeek.com/carrie-underwood-tickets
