,id,artist,artist_standardized,featured,album,track,time,explicit,year,yearly_rank,source,ch,x40,x10,pk,high,date_entered,date_peaked,latency_to_peak,yearly_rank_percentile,yearly_rank_categorical,ch_categorical,song_x,slope_list,date,song_y,before,after,percent_change,raw_change,breakthrough_10year,breakthrough_5year,artist_underscore,b4,b3,b2,b1,a0,a1,a2,a3,a4,youtube_slope,x1st_week,train
3588,28429,Nicki Minaj,Nicki Minaj,,s,Your Love,245,0,2010,70,h,20,15,0,2,14,6/19/2010,8/7/2010 0:00,49,0.144927536,0,2,Your Love,-3.571428571,6/20/2010,Your Love,125072,103716,0.829250352,-21356,0,0,nicki_minaj,31,32,38,42,39,41,46,44,44,2.6,51,FALSE
3592,26109,Maroon 5,Maroon 5,,s,Misery,216,0,2010,73,h,20,15,0,1,14,7/10/2010,10/9/2010 0:00,91,0.151138716,0,2,Misery,1.428571429,7/11/2010,Misery,19485,9583,0.491814216,-9902,1,1,maroon_5,5,5,7,12,14,16,19,29,24,2.5,44,TRUE
3593,34059,Sean Kingston,Sean Kingston,& Justin Bieber,s,Eenie Meenie,201,0,2010,74,h,18,11,0,1,15,4/10/2010,5/15/2010 0:00,35,0.15320911,0,2,Eenie Meenie,0.428571429,4/11/2010,Eenie Meenie,26078,21520,0.825216658,-4558,1,1,sean_kingston,45,43,47,48,47,44,47,56,72,0.9,30,TRUE
3612,36053,T.I.,T.I.,Featuring Eminem,No Mercy (Deluxe Version),That's All She Wrote,318,1,2010,92,h,5,2,0,1,18,12/25/2010,12/25/2010 0:00,0,0.19047619,0,1,That's All She Wrote,1.857142857,12/26/2010,That's All She Wrote,80768,74924,0.927644612,-5844,0,0,t.i.,21,26,33,30,25,23,25,24,24,1.2,18,TRUE
3622,13945,Florence + The Machine,Florence + The Machine,,Lungs,Dog Days Are Over,252,0,2010,100,h,20,2,0,2,21,9/25/2010,10/2/2010 0:00,7,0.207039337,1,2,Dog Days Are Over,-10.28571429,9/26/2010,Dog Days Are Over,1359,2027,1.491537896,668,1,1,florence_+_the_machine,44,40,46,100,71,61,64,68,58,11.4,93,FALSE
3623,13945,Florence + The Machine,Florence + The Machine,,Lungs,Dog Days Are Over,252,0,2010,100,h,20,2,0,2,21,9/25/2010,10/2/2010 0:00,7,0.207039337,1,2,Dog Days Are Over,-10.28571429,7/10/2011,Dog Days Are Over,4156,6954,1.673243503,2798,0,0,florence_+_the_machine,44,40,46,100,71,61,64,68,58,11.4,93,TRUE
3624,28876,OneRepublic,OneRepublic,,Waking Up (Deluxe Version),Secrets,224,0,2010,101,h,33,25,0,1,21,6/26/2010,10/23/2010 0:00,119,0.209109731,1,3,Secrets,-1.571428571,9/21/2014,Secrets,897,1113,1.240802676,216,0,1,onerepublic,3,4,4,3,3,3,4,4,4,-0.1,98,TRUE
3625,28876,OneRepublic,OneRepublic,,Waking Up (Deluxe Version),Secrets,224,0,2010,101,h,33,25,0,1,21,6/26/2010,10/23/2010 0:00,119,0.209109731,1,3,Secrets,-1.571428571,6/27/2010,Secrets,14258,8712,0.611025389,-5546,1,1,onerepublic,3,4,4,3,3,3,4,4,4,-0.1,98,TRUE
3626,28876,OneRepublic,OneRepublic,,Waking Up (Deluxe Version),Secrets,224,0,2010,101,h,33,25,0,1,21,6/26/2010,10/23/2010 0:00,119,0.209109731,1,3,Secrets,-0.714285714,9/21/2014,Secrets,897,1113,1.240802676,216,1,1,onerepublic,3,4,4,3,3,3,4,4,4,-0.1,98,TRUE
3627,28876,OneRepublic,OneRepublic,,Waking Up (Deluxe Version),Secrets,224,0,2010,101,h,33,25,0,1,21,6/26/2010,10/23/2010 0:00,119,0.209109731,1,3,Secrets,-0.714285714,6/27/2010,Secrets,14258,8712,0.611025389,-5546,1,1,onerepublic,3,4,4,3,3,3,4,4,4,-0.1,98,TRUE
3628,23214,Kevin Rudolf,Kevin Rudolf,"Featuring Birdman, Jay Sean & Lil Wayne",s,I Made It (Cash Money Heroes),258,1,2010,102,h,20,15,0,1,21,2/20/2010,5/15/2010 0:00,84,0.211180124,1,2,I Made It (Cash Money Heroes),1.857142857,2/21/2010,I Made It (Cash Money Heroes),14688,16724,1.138616558,2036,0,1,kevin_rudolf,24,30,38,41,41,52,61,65,75,4.5,59,TRUE
3634,23235,Kid Cudi,Kid Cudi,Featuring Kanye West,s,Erase Me,192,1,2010,108,h,5,1,0,1,22,9/11/2010,9/11/2010 0:00,0,0.223602484,1,1,Erase Me,5.714285714,9/12/2010,Erase Me,85738,89513,1.044029485,3775,1,1,kid_cudi,43,49,52,55,59,67,69,65,66,3.8,22,TRUE
3635,16207,Glee Cast,Glee Cast,,s,Dog Days Are Over,252,0,2010,109,h,1,1,0,1,22,12/18/2010,12/18/2010 0:00,0,0.225672878,1,0,Dog Days Are Over,-10.28571429,9/26/2010,Dog Days Are Over,1359,2027,1.491537896,668,0,0,glee_cast,92,93,91,96,80,63,40,44,42,-2.1,22,FALSE
3636,16207,Glee Cast,Glee Cast,,s,Dog Days Are Over,252,0,2010,109,h,1,1,0,1,22,12/18/2010,12/18/2010 0:00,0,0.225672878,1,0,Dog Days Are Over,-10.28571429,7/10/2011,Dog Days Are Over,4156,6954,1.673243503,2798,0,0,glee_cast,92,93,91,96,80,63,40,44,42,-2.1,22,FALSE
3648,10730,DJ Khaled,DJ Khaled,"Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",s,All I Do Is Win,232,0,2010,118,h,24,12,0,1,24,3/6/2010,7/24/2010 0:00,140,0.244306418,1,3,All I Do Is Win,2.285714286,3/7/2010,All I Do Is Win,22263,37851,1.700175179,15588,0,1,dj_khaled,27,28,27,31,42,37,39,41,39,3.3,64,TRUE
