artist_name,artist_name_clean,artist_name_underscore,artist_name_query,artist_name_dash
Jennifer Lopez,Jennifer Lopez,jennifer_lopez,jennifer+lopez,jennifer-lopez
Gym Class Heroes,Gym Class Heroes,gym_class_heroes,gym+class+heroes,gym-class-heroes
Bad Meets Evil,Bad Meets Evil,bad_meets_evil,bad+meets+evil,bad-meets-evil
Jeremih,Jeremih,jeremih,jeremih,jeremih
Cobra Starship,Cobra Starship,cobra_starship,cobra+starship,cobra-starship
Hot Chelle Rae,Hot Chelle Rae,hot_chelle_rae,hot+chelle+rae,hot-chelle-rae
Lupe Fiasco,Lupe Fiasco,lupe_fiasco,lupe+fiasco,lupe-fiasco
Demi Lovato,Demi Lovato,demi_lovato,demi+lovato,demi-lovato
Dev,Dev,dev,dev,dev
Scotty McCreery,Scotty McCreery,scotty_mccreery,scotty+mccreery,scotty-mccreery
Tinie Tempah,Tinie Tempah,tinie_tempah,tinie+tempah,tinie-tempah
Edward Maya & Vika Jigulina,Edward Maya & Vika Jigulina,edward_maya_&_vika_jigulina,edward+maya+&+vika+jigulina,edward-maya-&-vika-jigulina
Beyonce,Beyonce,beyonce,beyonce,beyonce
Kelly Rowland,Kelly Rowland,kelly_rowland,kelly+rowland,kelly-rowland
Christina Perri,Christina Perri,christina_perri,christina+perri,christina-perri
Javier Colon,Javier Colon,javier_colon,javier+colon,javier-colon
Lauren Alaina,Lauren Alaina,lauren_alaina,lauren+alaina,lauren-alaina
Dia Frampton,Dia Frampton,dia_frampton,dia+frampton,dia-frampton
Jake Owen,Jake Owen,jake_owen,jake+owen,jake-owen
Alexandra Stan,Alexandra Stan,alexandra_stan,alexandra+stan,alexandra-stan
Jessie J,Jessie J,jessie_j,jessie+j,jessie-j
Keri Hilson,Keri Hilson,keri_hilson,keri+hilson,keri-hilson
Mumford & Sons,Mumford & Sons,mumford_&_sons,mumford+&+sons,mumford-&-sons
Eli Young Band,Eli Young Band,eli_young_band,eli+young+band,eli-young-band
Big Sean,Big Sean,big_sean,big+sean,big-sean
"Lonely Island, The",The Lonely Island,the_lonely_island,the+lonely+island,the-lonely-island
Thompson Square,Thompson Square,thompson_square,thompson+square,thompson-square
Sara Evans,Sara Evans,sara_evans,sara+evans,sara-evans
Steven Tyler,Steven Tyler,steven_tyler,steven+tyler,steven-tyler
Plain White T's,Plain White T's,plain_white_t's,plain+white+t's,plain-white-t's
Wale,Wale,wale,wale,wale
Red Hot Chili Peppers,Red Hot Chili Peppers,red_hot_chili_peppers,red+hot+chili+peppers,red-hot-chili-peppers
Nicole Scherzinger,Nicole Scherzinger,nicole_scherzinger,nicole+scherzinger,nicole-scherzinger
Michael Jackson,Michael Jackson,michael_jackson,michael+jackson,michael-jackson
Afrojack,Afrojack,afrojack,afrojack,afrojack
YC,YC,yc,yc,yc
Adam Levine,Adam Levine,adam_levine,adam+levine,adam-levine
Martin Solveig,Martin Solveig,martin_solveig,martin+solveig,martin-solveig
Bow Wow,Bow Wow,bow_wow,bow+wow,bow-wow
Brantley Gilbert,Brantley Gilbert,brantley_gilbert,brantley+gilbert,brantley-gilbert
Victorious Cast,Victorious Cast,victorious_cast,victorious+cast,victorious-cast
David Nail,David Nail,david_nail,david+nail,david-nail
Bridgit Mendler,Bridgit Mendler,bridgit_mendler,bridgit+mendler,bridgit-mendler
Andy Grammer,Andy Grammer,andy_grammer,andy+grammer,andy-grammer
Matt Nathanson,Matt Nathanson,matt_nathanson,matt+nathanson,matt-nathanson
Pistol Annies,Pistol Annies,pistol_annies,pistol+annies,pistol-annies
Mac Miller,Mac Miller,mac_miller,mac+miller,mac-miller
Sick Puppies,Sick Puppies,sick_puppies,sick+puppies,sick-puppies
Kreayshawn,Kreayshawn,kreayshawn,kreayshawn,kreayshawn
Rebecca Black,Rebecca Black,rebecca_black,rebecca+black,rebecca-black
