Taylor Swift ,Taylor Swift ,,,,,Style,7,10,12,12,15,17,20,23,27,31,34,38,41,48,48
Meek Mill ,Meek Mill ,,,,,Lord Knows,,,,,,,,,,,,,,,88
Pitbull &amp; Ne-Yo ,Pitbull ,Ne-Yo ,,,,Time Of Our Lives,15,17,19,25,29,31,37,46,47,48,50,,,,
Who Is Fancy ,Who Is Fancy ,,,,,Goodbye,,98,,,,,,,,,,,,,
A$AP Rocky ,A$AP Rocky ,,,,,L$D,,,,,,,,,62,84,98,,,,
Zedd Featuring Jon Bellion ,Zedd ,Jon Bellion ,,,,Beautiful Now,,,,,,,,88,,,,89,94,97,90
Chris Young ,Chris Young ,,,,,Lonely Eyes,53,64,78,,,,,,,,,,,,
Sawyer Fredericks ,Sawyer Fredericks ,,,,,Please,,,,,,,,37,,,,,,,
Fetty Wap ,Fetty Wap ,,,,,Trap Queen,6,4,5,3,2,2,2,3,3,3,3,3,4,5,6
Brett Eldredge ,Brett Eldredge ,,,,,Lose My Mind,,,,,,,,,,,97,92,86,81,74
Jake Owen ,Jake Owen ,,,,,Real Life,,,,,,,,,,,,,96,88,79
Wale Featuring Usher ,Wale ,Usher ,,,,The Matrimony,87,85,88,81,74,74,73,78,71,73,72,70,71,71,71
Koryn Hawthorne ,Koryn Hawthorne ,,,,,Make It Rain,,,,84,,,,,,,,,,,
A$AP Rocky Featuring ScHoolboy Q ,A$AP Rocky ,ScHoolboy Q ,,,,Electric Body,,,,,,,,,80,97,,,,,
Nick Jonas ,Nick Jonas ,,,,,Chains,13,14,14,15,20,20,21,28,33,43,54,,,,
Sawyer Fredericks ,Sawyer Fredericks ,,,,,A Thousand Years,,,,,,,94,,,,,,,,
Mariah Carey ,Mariah Carey ,,,,,Infinity,,,,,82,,,,,,,,,,
Little Big Town ,Little Big Town ,,,,,Girl Crush,54,56,25,18,24,25,23,22,25,29,28,27,27,31,27
Wiz Khalifa Featuring Charlie Puth ,Wiz Khalifa ,Charlie Puth ,,,,See You Again,10,1,1,1,1,1,1,2,1,1,1,1,1,1,2
Imagine Dragons ,Imagine Dragons ,,,,,I Bet My Life,58,,,,,,,,,,,,,,
