artist_name	id
C.C. Adcock	15397995
Cannonball Adderley	15404098
Nat Adderley	93749940
Shari Addison	99518843
King Sunny Ade	106178242
Adele	18790675
Adem	15328268
Thomas Ades	126030662
The Adolescents	15784517
Bruce Adolphe	103728548
The Adored	15398300
John Adorney	17084442
Adrienne Young	15051432
Adult Jazz	342428475
Adult Mom	412263570
Adventures	381938123
Aerosmith	129085773
Aesop Rock	18509450
The Afghan Whigs	174490612
Jose Afonso	16528420
African Guitar Summit	15396318
African Jazz Pioneers	127593918
Afrissippi	98636739
Afro Blue	261392749
Afro Celt Sound System	15190808
Afternoons	350683633
Against Me!	127482144
Agalloch	131760775
Ages and Ages	246000370
Salar Aghili/Ensemble Dastan	96962112
Ahleuchatistas	114184243
Kiran Ahluwalia	15402556
Mahmoud Ahmed	15399111
Ahn Trio	17084396
Priscilla Ahn	91307180
Laura Aikin	15591964
Pierre-Laurent Aimard	14864215
Aimee Mann	14962491
Air Review	308706484
Air	15127040
The Airborne Toxic Event	93172933
Ambrose Akinmusire	114315329
Akron/Family	15395391
Alabama Shakes	145926696
Roberto Alagna	15522186
Simone Alaimo	17468414
Damon Albarn	15127500
Isaac Albéniz	96329281
Alberta Cross	90313302
Gerald Albright	15128807
Alestorm	112254634
Dee Alexander	168481556
Eric Alexander	15129359
Monty Alexander	15223127
Alexis P. Suter Band	145925763
Hugo Alfven	111595453
Algiers	399598777
Rashied Ali	111852116
Alice in Chains	113439444
The Alice Rose	15696794
Alison Brown	120099997
All Dogs	421490465
Alla	91561004
Allah-Las	334987846
Gregorio Allegri	88402299
My Midnight Heart	383348501
Geri Allen	15131132
JD Allen	111775333
Lily Allen	15132566
Tony Allen	15398120
Ben Allison	18193301
Mose Allison	15404105
The Allman Brothers Band	15404041
Gregg Allman	15196510
Karrin Allyson	15328581
Fabian Almazan	141087299
Laurindo Almeida	15191564
Herb Alpert & the Tijuana Brass	15180725
Alpine	188681599
Marin Alsop	15033224
alt-J	164187667
Altan	17092393
The Alternate Routes	96874358
The Aluminum Group	17088305
Dave Alvin	15181258
Aly & AJ	15373134
A.M. Sixty	15404826
Amadou & Mariam	15190805
Amandine	16524798
Rodrigo Amarante	327321639
Amazing Baby	106689691
Ambulance LTD	16168990
America	15396684
The American Analog Set	17084327
American Football	318873829
The American Ragtime Ensemble	17089949
Sam Amidon	126502023
Amiina	16524673
Gene Ammons	15404048
Amos Lee	15355761
Tori Amos	15182176
Amy LaVere	15158850
Trey Anastasio	15397579
And The Kids	398512061
Al Anderson	15400282
Laurie Anderson	16525102
Leroy Anderson	17090665
Marian Anderson	102980721
Marisa Anderson	243191229
Ray Anderson	155352791
Theresa Andersson	97689957
Andre 3000	15199164
Andrew W.K.	15159818
Kyle Andrews	15398986
Troy Andrews	18696275
Leif Ove Andsnes	15045448
Anga	15400043
Angel Band	15043646
Paolo Angeli	91479000
Angélique Kidjo	15291092
Tara Angell	17092379
Saba	18487116
Ani DiFranco	14966211
Anima	15182797
Animal Collective	14993047
The Animals	97268219
Paul Anka	15403632
Star Anna	113577333
Liza Anne	411550620
Annuals	15397407
Anonymous 4	15182954
Another Robot Sunset	90204624
Antibalas	15158396
Antibalas Afrobeat Orchestra	93038998
The Antlers	100863291
Antonin Dvorak	15033227
Antony and the Johnsons	15239231
Apes & Androids	90671769
Aphex Twin	352735191
Alejo Aponte	145844524
Fiona Apple	15183593
April Smith and the Great Picture Show	124095030
Aqualung	15184137
Lawrence Arabia	129358906
Rani Arbo	96233111
Arborea	94427246
Khaira Arby	134000718
Arcade Fire	16334660
Archaois	146484101
Architecture in Helsinki	15736228
David Archuleta	97449455
Arctic	17079983
Arctic Monkeys	15129371
Adam Arcuragi	17081755
Dominick Argento	16003155
Martha Argerich	16013914
India.Arie	15184245
Susie Arioli Swing Band	15184943
Harold Arlen	100790423
Joan Armatrading	15185241
Arms	93336423
Louis Armstrong	15185958
Nic Armstrong	14957831
Army Navy	101788272
Olafur Arnalds	94292454
Olof Arnalds	123494242
David Arnay	91392038
Ben Arnold	16708428
Eddy Arnold	90312093
Art Brut	15168810
The Art Ensemble of Chicago	15190598
Ben Arthur	92669704
Joseph Arthur	15190944
Ersi Arvizu	90195786
Asa	101456555
Asbury	90077298
Asgeir	329770596
Dorothy Ashby	15191778
Boots	390467025
Ashford & Simpson	15438271
Asleep at the Wheel	15333906
Badi Assad	15396743
Odair Assad	15883199
Sergio Assad	15883196
Sergio Assad	128984266
Sergio Assad & Odair Assad	17135713
Sergio Assad & Odair Assad	128957948
Fred Astaire	105095902
Mulatu Astatke	15399115
Aster	90093766
Asteroid No. 4	92932137
Astral Project	134087366
Astro	162784902
Astrograss	90432809
Astronautalis	94930895
Asylum Street Spankers	15403565
Lado Ataneli	15449398
Bob Atcher	17225967
Aterciopelados	15191761
Athlete	16615191
Martin Atkins	92132261
Atlanta Symphony Orchestra	15806128
Atlas Sound	90991798
Natacha Atlas	15192852
Atmosphere	91422709
Atomic	99231172
