show_id,artist,artist_id,title,show,storyDate,pubDate,lastModifiedDate,link
146088800,Lana Del Rey,145913023,Lana Del Rey: Just Another Pop Star,The Record,2012-01-30 20:30:00,2012-11-08 21:30:00,2012-11-08 21:30:42,http://www.npr.org/sections/therecord/2012/01/31/146088800/putting-together-the-pieces-of-lana-del-rey?ft=nprml&f=145913023
246574162,Green Day,15283543,'Foreverly' Yours: Billie Joe Armstrong And Norah Jones Get Close,Music Interviews,2013-11-25 07:00:00,2013-11-25 18:11:00,2013-11-25 19:01:49,http://www.npr.org/2013/11/25/246574162/foreverly-yours-billie-joe-armstrong-and-norah-jones-get-close?ft=nprml&f=15283543
126395459,Green Day,15283543,"Billie Joe Armstrong, From Green Day To Broadway",Music Articles,2010-05-27 16:00:00,2010-05-28 18:05:00,2011-01-13 20:50:01,http://www.npr.org/2010/05/27/126395459/billie-joe-armstrong-from-green-day-to-broadway?ft=nprml&f=15283543
106210518,Green Day,15283543,Summer Road Trip: Songs For Speed And Spirit,Music Articles,2009-07-06 16:33:00,2012-12-12 17:13:00,2012-12-12 17:13:47,http://www.npr.org/templates/story/story.php?storyId=106210518&ft=nprml&f=15283543
99558382,Green Day,15283543,Eight Years Gone,Monitor Mix,2009-01-19 19:24:00,2010-09-24 22:30:00,2010-09-24 22:30:12,http://www.npr.org/sections/monitormix/2009/01/eight_years_gone.html?ft=nprml&f=15283543
90619251,Green Day,15283543,Can Scarlett Johansson Sing? Who Cares?,Music Articles,2008-05-20 11:00:00,2012-12-12 16:43:00,2012-12-12 16:43:00,http://www.npr.org/templates/story/story.php?storyId=90619251&ft=nprml&f=15283543
17122478,Green Day,15283543,From Wu-Tang to 'Walk Hard',Music Articles,2007-12-11 12:00:00,2012-12-12 16:30:00,2012-12-12 16:30:38,http://www.npr.org/templates/story/story.php?storyId=17122478&ft=nprml&f=15283543
4139218,Green Day,15283543,"New CDs from Green Day, Black Keys",Music Articles,2004-11-02 05:00:00,2012-12-12 15:32:00,2012-12-12 15:32:05,http://www.npr.org/templates/story/story.php?storyId=4139218&ft=nprml&f=15283543
1112565,Green Day,15283543,Warning,Music Articles,2000-10-16 04:00:00,2012-12-12 15:23:00,2012-12-12 15:23:21,http://www.npr.org/templates/story/story.php?storyId=1112565&ft=nprml&f=15283543
248864263,Lorde,227790178,Lorde Sounds Like Teen Spirit,Best Music Of 2013,2013-12-05 16:35:00,2013-12-26 12:49:00,2013-12-26 14:31:02,http://www.npr.org/sections/bestmusic2013/2013/12/04/248864263/lorde-sounds-like-teen-spirit?ft=nprml&f=227790178
248640663,Lorde,227790178,"All Songs Considered: The Year In Music, 2013",Best Music Of 2013,2013-12-04 16:09:00,2013-12-09 19:12:00,2013-12-09 19:24:06,http://www.npr.org/sections/bestmusic2013/2013/12/03/248640663/all-songs-considered-the-year-in-music-2013?ft=nprml&f=227790178
227790278,Lorde,227790178,"Lorde Doesn't Have A Bentley, But The Charts Will Do",Music Articles,2013-09-30 20:56:00,2013-10-01 02:09:00,2013-10-01 02:09:06,http://www.npr.org/2013/09/30/227790278/lorde-doesnt-have-a-bentley-but-the-charts-will-do?ft=nprml&f=227790178
211655048,Lorde,227790178,KCRW Presents: Lorde,Favorite Sessions,2013-08-13 17:26:00,2014-07-07 18:29:00,2014-07-07 18:29:51,http://www.npr.org/event/music/211655048/kcrw-presents-lorde?ft=nprml&f=227790178
184499357,Daft Punk,15414420,Daft Punk On 'The Soul That A Musician Can Bring',Music Articles,2014-01-27 17:01:00,2014-01-27 17:00:00,2014-01-27 21:22:46,http://www.npr.org/2013/05/16/184499357/daft-punk-on-the-soul-that-a-musician-can-bring?ft=nprml&f=15414420
249997274,Daft Punk,15414420,Poll Results: Listeners Pick Their Favorite Albums of 2013,All Songs Considered,2013-12-12 21:55:00,2013-12-12 22:20:00,2013-12-12 22:20:38,http://www.npr.org/sections/allsongs/2013/12/12/249997274/poll-results-listeners-pick-their-favorite-albums-of-2013?ft=nprml&f=15414420
191706647,Daft Punk,15414420,Guest DJ: Daft Punk On The Music That Inspired 'Random Access Memories',All Songs Considered,2013-06-17 20:00:00,2013-06-18 18:29:00,2013-06-18 18:29:01,http://www.npr.org/sections/allsongs/2013/06/14/191706647/guest-dj-daft-punk-on-the-music-that-inspired-random-access-memories?ft=nprml&f=15414420
190346976,Daft Punk,15414420,"Discussion: The Year In Music (So Far), 2013",All Songs Considered,2013-06-11 19:15:00,2013-06-30 01:02:00,2013-06-30 01:02:49,http://www.npr.org/sections/allsongs/2013/06/10/190346976/discussion-the-year-in-music-so-far-2013?ft=nprml&f=15414420
186954255,Daft Punk,15414420,What It Means When 'Hip' Albums Top The Charts,The Record,2013-05-29 14:50:00,2013-05-29 22:50:00,2013-05-29 22:50:15,http://www.npr.org/sections/therecord/2013/05/28/186954255/what-it-means-when-hip-albums-top-the-charts?ft=nprml&f=15414420
185839045,Daft Punk,15414420,Daft Punk: Accessing Electronic Music's Humanity,Music Reviews,2013-05-22 15:14:00,2013-05-22 17:08:00,2013-05-22 17:08:30,http://www.npr.org/2013/05/22/185839045/daft-punk-accessing-electronic-musics-humanity?ft=nprml&f=15414420
183939750,Daft Punk,15414420,Robots In Ecstasy: Daft Punk's 'Memories' Embraces The Pleasure Principle,The Record,2013-05-14 19:00:00,2013-05-14 19:11:00,2014-01-30 22:31:35,http://www.npr.org/sections/therecord/2013/05/14/183939750/robots-in-ecstasy-daft-punks-memories-embraces-the-pleasure-principle?ft=nprml&f=15414420
131627475,Daft Punk,15414420,'TRON' Director Unveils New Daft Punk Songs,All Songs Considered,2010-11-29 16:15:00,2010-11-29 17:53:00,2010-11-29 17:53:04,http://www.npr.org/sections/allsongs/2010/11/27/131627475/hear-new-music-from-daft-punk-s-tron?ft=nprml&f=15414420
382273626,Fall Out Boy,16699158,Pop's New Old Sound: Retro Without Rules,The Record,2015-01-29 09:15:00,2015-02-03 15:19:00,2015-02-03 15:19:05,http://www.npr.org/sections/therecord/2015/01/29/382273626/pops-new-old-sound-retro-without-rules?ft=nprml&f=16699158
256560211,Fall Out Boy,16699158,Top 10 Top 40 Of 2013,Best Music Of 2013,2013-12-23 16:29:00,2013-12-23 16:38:00,2013-12-26 20:48:54,http://www.npr.org/sections/bestmusic2013/2013/12/23/256560211/top-10-top-40-of-2013?ft=nprml&f=16699158
131443790,Bon Jovi,92549232,Rock Star Jon Bon Jovi Comes Full 'Circle',Music Articles,2010-11-26 17:00:00,2010-11-26 22:54:00,2010-11-26 22:54:44,http://www.npr.org/2010/11/19/131443790/rock-star-jon-bon-jovi-comes-full-circle?ft=nprml&f=92549232
92549235,Bon Jovi,92549232,Bon Jovi's New Anthems Have A Twang,Music Articles,2008-07-15 14:54:00,2012-12-12 16:47:00,2012-12-12 16:47:26,http://www.npr.org/templates/story/story.php?storyId=92549235&ft=nprml&f=92549232
15164441,Bon Jovi,92549232,A College Dream Inspired by a Song,Discover Songs,2007-10-10 13:00:00,2012-12-12 16:20:00,2012-12-12 16:20:51,http://www.npr.org/templates/story/story.php?storyId=15164441&ft=nprml&f=92549232
11215014,Bon Jovi,92549232,Rock Meets Nashville in Bon Jovi's 'Lost Highway',Music Articles,2007-06-20 14:00:00,2012-12-12 16:14:00,2012-12-12 16:14:06,http://www.npr.org/templates/story/story.php?storyId=11215014&ft=nprml&f=92549232
5390362,Bon Jovi,92549232,Bon Jovi Boot Scoots to Top of Country Music Charts,Music Articles,2006-05-08 14:48:00,2012-12-12 15:50:00,2012-12-12 15:50:16,http://www.npr.org/templates/story/story.php?storyId=5390362&ft=nprml&f=92549232
338276926,Sevyn Streeter,338294227,Sevyn Streeter Knocks Us Out,Field Recordings,2014-08-06 18:00:00,2014-09-19 18:30:00,2014-09-19 18:33:19,http://www.npr.org/event/music/338276926/sevyn-streeter-knocks-us-out?ft=nprml&f=338294227
99190609,Enya,99139719,Enya's New Album Celebrates Winter,Music Articles,2009-01-10 22:48:00,2012-12-12 17:01:00,2012-12-12 17:01:09,http://www.npr.org/templates/story/story.php?storyId=99190609&ft=nprml&f=99139719
1002064,Enya,99139719,Enya Paints The Sky 'With Stars',Music Articles,1997-12-20 05:00:00,2012-12-12 15:22:00,2012-12-12 15:22:16,http://www.npr.org/templates/story/story.php?storyId=1002064&ft=nprml&f=99139719
221073469,The Weeknd,135036318,The Weeknd Revels In Raw Emotion On 'Kiss Land',Music Reviews,2013-09-10 20:15:00,2013-09-11 00:21:00,2013-09-11 02:11:40,http://www.npr.org/2013/09/10/221073469/the-weeknd-revels-in-raw-emotion-on-kiss-land?ft=nprml&f=135036318
137110453,The Weeknd,135036318,Discussion: The Year's Best Music (So Far),All Songs Considered,2011-06-14 19:14:00,2011-06-21 16:29:00,2012-06-11 18:15:28,http://www.npr.org/2011/06/14/137110453/discussion-the-years-best-music-so-far?ft=nprml&f=135036318
135008857,The Weeknd,135036318,What Your Favorite 'Weekend' Band Says About Your Upcoming Weekend,All Songs Considered,2011-04-01 13:00:00,2011-04-08 20:42:00,2011-04-08 20:42:40,http://www.npr.org/sections/allsongs/2011/04/08/135008857/what-your-favorite-weekend-band-says-about-your-upcoming-weekend?ft=nprml&f=135036318
417426717,Kacey Musgraves,174510165,NPR Music's 25 Favorite Albums Of 2015 (So Far),Music Articles,2015-06-29 10:03:00,2015-07-15 13:46:00,2015-07-15 13:46:36,http://www.npr.org/2015/06/29/417426717/npr-musics-25-favorite-albums-of-2015-so-far?ft=nprml&f=174510165
417426717,Alabama Shakes,145926696,NPR Music's 25 Favorite Albums Of 2015 (So Far),Music Articles,2015-06-29 10:03:00,2015-07-15 13:46:00,2015-07-15 13:46:36,http://www.npr.org/2015/06/29/417426717/npr-musics-25-favorite-albums-of-2015-so-far?ft=nprml&f=145926696
12448707,Arctic Monkeys,15129371,Arctic Monkeys: Resisting the Sophomore Slump,World Cafe,2007-08-02 17:41:00,2012-12-12 16:16:00,2012-12-12 16:16:17,http://www.npr.org/templates/story/story.php?storyId=12448707&ft=nprml&f=15129371
5293452,Arctic Monkeys,15129371,Arctic Monkeys in Concert,Live in Concert,2006-03-27 21:48:00,2012-10-23 19:30:00,2012-10-23 19:30:39,http://www.npr.org/2006/03/27/5293452/arctic-monkeys-in-concert?ft=nprml&f=15129371
5228268,Arctic Monkeys,15129371,Arctic Monkeys: 'That's What I'm Not',Music Articles,2006-02-22 18:27:00,2012-12-12 15:46:00,2012-12-12 15:46:50,http://www.npr.org/templates/story/story.php?storyId=5228268&ft=nprml&f=15129371
5227027,Arctic Monkeys,15129371,U.K.'s Arctic Monkeys Try to Win American Fans,Music Articles,2006-02-21 14:45:00,2012-12-12 15:46:00,2012-12-12 15:46:48,http://www.npr.org/templates/story/story.php?storyId=5227027&ft=nprml&f=15129371
5219613,Arctic Monkeys,15129371,Arctic Monkeys: Anarchy from the U.K.,Music Articles,2006-02-16 18:10:00,2012-12-12 15:46:00,2012-12-12 15:46:36,http://www.npr.org/templates/story/story.php?storyId=5219613&ft=nprml&f=15129371
