track_id,artist,artist_id,track,track_id,peak,span,span_peak,span10,span40,week_entered,week_peaked
23659,Lady Antebellum,7945.0,American Honey,23659,25,16,1,0,8,2010-01-10 00:00:00,2010-05-09 00:00:00
16231,Glee Cast,8043.0,Happy Days Are Here Again,16231,48,1,1,0,0,2010-10-31 00:00:00,2010-10-31 00:00:00
16100,Glee Cast,8043.0,Smooth Criminal,16100,26,2,1,0,1,2012-02-19 00:00:00,2012-02-19 00:00:00
28729,OG Maco,8413.0,U Guessed It,28729,90,2,1,0,0,2014-10-19 00:00:00,2014-10-26 00:00:00
26824,MGK,8235.0,Wild Boy,26824,98,1,1,0,0,2012-01-29 00:00:00,2012-01-29 00:00:00
1949,Ariana Grande,8287.0,One Last Time,1949,18,5,1,0,4,2015-03-01 00:00:00,2015-03-22 00:00:00
9354,Darius Rucker,7977.0,Come Back Song,9354,37,20,1,0,1,2010-08-01 00:00:00,2010-10-31 00:00:00
6082,Breaking Benjamin,6775.0,Give Me A Sign (Forever And Ever),6082,97,5,3,0,0,2010-04-25 00:00:00,2010-04-25 00:00:00
24527,Lil Wayne,7575.0,F**k Today,24527,76,1,1,0,0,2010-02-21 00:00:00,2010-02-21 00:00:00
16128,Glee Cast,8043.0,Get It Right,16128,16,2,1,0,1,2011-04-03 00:00:00,2011-04-03 00:00:00
7958,Chris Jamison,8430.0,When I Was Your Man,7958,98,1,1,0,0,2014-12-28 00:00:00,2014-12-28 00:00:00
32606,Robin Thicke,7875.0,Blurred Lines,32606,1,28,12,21,24,2013-05-05 00:00:00,2013-06-23 00:00:00
7915,Chris Brown,7750.0,Wet The Bed,7915,77,10,1,0,0,2011-09-25 00:00:00,2011-10-16 00:00:00
39820,Young Money,8037.0,Roger That,39820,56,11,1,0,0,2010-04-11 00:00:00,2010-05-16 00:00:00
5994,Brad Paisley,7261.0,Anything Like Me,5994,48,19,1,0,0,2010-09-19 00:00:00,2010-12-05 00:00:00
28280,New Hollow,8138.0,Boyfriend,28280,96,3,1,0,0,2011-02-13 00:00:00,2011-02-27 00:00:00
22525,Justin Moore,8080.0,Lettin' The Night Roll,22525,49,19,1,0,0,2014-03-09 00:00:00,2014-06-29 00:00:00
1720,Anne Hathaway,8273.0,I Dreamed A Dream,1720,69,3,1,0,0,2013-01-13 00:00:00,2013-01-13 00:00:00
1950,Arianna,8290.0,Sexy People (The Fiat Song),1950,97,1,1,0,0,2013-05-19 00:00:00,2013-05-19 00:00:00
28860,One Direction,8241.0,What Makes You Beautiful,28860,4,28,2,13,26,2012-03-04 00:00:00,2012-04-22 00:00:00
27289,Miranda Lambert,7772.0,Fastest Girl In Town,27289,47,19,1,0,0,2012-08-12 00:00:00,2012-11-18 00:00:00
32278,Rick Ross,7809.0,You The Boss,32278,62,17,1,0,0,2011-11-06 00:00:00,2012-01-29 00:00:00
13952,Florida Georgia Line,8214.0,Sun Daze,13952,44,21,1,0,0,2014-10-05 00:00:00,2015-02-08 00:00:00
28417,Nicki Minaj,8134.0,Starships,28417,5,28,4,21,28,2012-03-04 00:00:00,2012-04-08 00:00:00
12287,Eli Young Band,8030.0,Crazy Girl,12287,30,36,1,0,9,2011-03-27 00:00:00,2011-11-20 00:00:00
23075,Kenny Chesney,6686.0,The Boys Of Fall,23075,18,18,1,0,10,2010-08-15 00:00:00,2010-08-22 00:00:00
23653,Lady Antebellum,7945.0,Just A Kiss,23653,7,20,1,1,19,2011-05-22 00:00:00,2011-05-22 00:00:00
22273,Josh Kaufman,8381.0,I Can't Make You Love Me,22273,71,1,1,0,0,2014-05-25 00:00:00,2014-05-25 00:00:00
16178,Glee Cast,8043.0,Somewhere,16178,75,1,1,0,0,2011-10-16 00:00:00,2011-10-16 00:00:00
19244,Jack & Jack,8405.0,Wild Life,19244,87,1,1,0,0,2014-08-24 00:00:00,2014-08-24 00:00:00
16259,Glee Cast,8043.0,Ice Ice Baby,16259,74,1,1,0,0,2010-05-23 00:00:00,2010-05-23 00:00:00
6680,Busta Rhymes,1818.0,Calm Down,6680,94,1,1,0,0,2014-07-20 00:00:00,2014-07-20 00:00:00
32283,Rick Ross,7809.0,Super High,32283,100,1,1,0,0,2010-06-13 00:00:00,2010-06-13 00:00:00
23049,Kendrick Lamar,8226.0,Swimming Pools (Drank),23049,17,17,1,0,7,2012-08-19 00:00:00,2012-12-16 00:00:00
26636,Meek Mill,8234.0,Monster,26636,96,1,1,0,0,2015-03-22 00:00:00,2015-03-22 00:00:00
37113,Toby Keith,3637.0,Red Solo Cup,37113,15,20,1,0,14,2011-11-13 00:00:00,2012-01-15 00:00:00
16278,Glee Cast,8043.0,"It's A Man's, Man's Man's World",16278,95,1,1,0,0,2010-06-20 00:00:00,2010-06-20 00:00:00
19988,Jason DeRulo,8052.0,It Girl,19988,17,19,2,0,14,2011-08-28 00:00:00,2011-10-30 00:00:00
38270,Usher,6258.0,Scream,38270,9,21,2,6,18,2012-05-13 00:00:00,2012-08-05 00:00:00
22744,Katy Perry,7961.0,Roar,22744,1,19,2,16,18,2013-08-25 00:00:00,2013-09-15 00:00:00
10014,Demi Lovato,7972.0,Unbroken,10014,98,1,1,0,0,2011-10-09 00:00:00,2011-10-09 00:00:00
20313,Jerrod Niemann,8096.0,Shinin' On Me,20313,92,7,1,0,0,2012-09-16 00:00:00,2012-10-21 00:00:00
34822,Snoop Dogg,5674.0,"Young, Wild & Free",34822,7,32,1,6,25,2011-10-30 00:00:00,2012-03-18 00:00:00
16153,Glee Cast,8043.0,Hell To The No,16153,53,1,1,0,0,2011-04-03 00:00:00,2011-04-03 00:00:00
19999,Jason Mraz,3913.0,I Won't Give Up,19999,8,22,1,1,6,2012-01-22 00:00:00,2012-01-22 00:00:00
24658,Linkin Park,7031.0,Iridescent,24658,81,3,1,0,0,2011-06-19 00:00:00,2011-07-24 00:00:00
16122,Glee Cast,8043.0,It's Time,16122,95,1,1,0,0,2012-09-30 00:00:00,2012-09-30 00:00:00
18723,Imagine Dragons,8221.0,It's Time,18723,23,25,1,0,7,2012-06-24 00:00:00,2013-04-07 00:00:00
